"rti","variable","or","lwr","upr","label","symptom"
"BV","HIV-positive",1.7796814747559,1.3331960796008,2.37569416836096,"1.8 (1.3-2.4)","Vaginal discharge"
"CS","HIV-positive",0.557459649370889,0.377565791852646,0.823065191239561,"0.6 (0.4-0.8)","Vaginal discharge"
"CT","HIV-positive",0.924361336296939,0.682131108077829,1.25260946161566,"0.9 (0.7-1.3)","Vaginal discharge"
"MG","HIV-positive",2.28153615447787,1.56187465231023,3.33279448289282,"2.3 (1.6-3.3)","Vaginal discharge"
"NG","HIV-positive",1.63833818531568,1.20652041517748,2.22470500763854,"1.6 (1.2-2.2)","Vaginal discharge"
"None","HIV-positive",0.735662683278962,0.538511523765168,1.00499164769073,"0.7 (0.5-1.0)","Vaginal discharge"
"TV","HIV-positive",2.14934800581017,1.61063584611551,2.86824415414684,"2.1 (1.6-2.9)","Vaginal discharge"
"CT","HIV-positive",0.546245596967101,0.375516310300202,0.794597315806082,"0.5 (0.4-0.8)","Urethral discharge"
"MG","HIV-positive",1.03225679458755,0.674421115511966,1.57995363054917,"1.0 (0.7-1.6)","Urethral discharge"
"NG","HIV-positive",1.15489589309185,0.795016046968886,1.67768251844182,"1.2 (0.8-1.7)","Urethral discharge"
"None","HIV-positive",1.29319068895875,0.862124875705599,1.93979109655186,"1.3 (0.9-1.9)","Urethral discharge"
"TV","HIV-positive",1.82973892208968,1.06790910617328,3.13504632899597,"1.8 (1.1-3.1)","Urethral discharge"
"HD","HIV-positive",0.798621932336084,0.560288957886831,1.13833582088378,"0.8 (0.6-1.1)","Genital ulcer"
"HSV","HIV-positive",1.67831028031709,1.10447643144364,2.55028112581483,"1.7 (1.1-2.6)","Genital ulcer"
"HSV-1","HIV-positive",1.17957339278818,0.509441195921034,2.73121490785264,"1.2 (0.5-2.7)","Genital ulcer"
"HSV-2","HIV-positive",1.66967952982126,1.12337007379671,2.48166636919744,"1.7 (1.1-2.5)","Genital ulcer"
"LGV","HIV-positive",0.923749936410418,0.512073324646973,1.66639015146226,"0.9 (0.5-1.7)","Genital ulcer"
"None","HIV-positive",0.638463980258066,0.465637232562866,0.875437412604105,"0.6 (0.5-0.9)","Genital ulcer"
"TP","HIV-positive",0.938393964464694,0.681160206705483,1.29276963609312,"0.9 (0.7-1.3)","Genital ulcer"
