"symptom","region","rti","year","est","lwr","upr"
"Vaginal discharge","Southern Africa","BV",1970,0.395312084202868,0.0802722968717279,0.830416112246575
"Vaginal discharge","Southern Africa","BV",1971,0.398737817029692,0.0849398458816729,0.82571999952172
"Vaginal discharge","Southern Africa","BV",1972,0.402173492264002,0.089847835707525,0.82092987878757
"Vaginal discharge","Southern Africa","BV",1973,0.40561879997699,0.0950049448035899,0.816046212424032
"Vaginal discharge","Southern Africa","BV",1974,0.409073426521765,0.100419708232375,0.811069668418501
"Vaginal discharge","Southern Africa","BV",1975,0.412537054639261,0.106100447393142,0.806001138884608
"Vaginal discharge","Southern Africa","BV",1976,0.416009363567054,0.112055191744004,0.800841760598379
"Vaginal discharge","Southern Africa","BV",1977,0.419490029151025,0.118291592069135,0.795592937906673
"Vaginal discharge","Southern Africa","BV",1978,0.422978723959788,0.124816824848741,0.790256368441366
"Vaginal discharge","Southern Africa","BV",1979,0.426475117401811,0.131637487291576,0.784834072170297
"Vaginal discharge","Southern Africa","BV",1980,0.42997887584513,0.138759482583273,0.779328424437344
"Vaginal discharge","Southern Africa","BV",1981,0.43348966273959,0.146187894882198,0.773742193795551
"Vaginal discharge","Southern Africa","BV",1982,0.437007138741509,0.153926853549011,0.768078585626924
"Vaginal discharge","Southern Africa","BV",1983,0.44053096184068,0.161979386015002,0.762341292780837
"Vaginal discharge","Southern Africa","BV",1984,0.444060787489601,0.170347258562104,0.756534554763076
"Vaginal discharge","Southern Africa","BV",1985,0.447596268734851,0.179030804084199,0.750663227386702
"Vaginal discharge","Southern Africa","BV",1986,0.451137056350492,0.188028735599331,0.744732865275794
"Vaginal discharge","Southern Africa","BV",1987,0.454682798973401,0.197337943852974,0.738749820221928
"Vaginal discharge","Southern Africa","BV",1988,0.458233143240423,0.206953276752665,0.732721359166278
"Vaginal discharge","Southern Africa","BV",1989,0.461787733927222,0.216867297553445,0.726655806561779
"Vaginal discharge","Southern Africa","BV",1990,0.465346214088732,0.227070017610335,0.720562717114307
"Vaginal discharge","Southern Africa","BV",1991,0.468908225201084,0.237548598056838,0.714453086473397
"Vaginal discharge","Southern Africa","BV",1992,0.472473407304883,0.248287012878076,0.708339609413206
"Vaginal discharge","Southern Africa","BV",1993,0.47604139914973,0.259265663445844,0.702236997483431
"Vaginal discharge","Southern Africa","BV",1994,0.479611838339855,0.270460931614761,0.696162371066531
"Vaginal discharge","Southern Africa","BV",1995,0.483184361480739,0.281844654952603,0.690135744236933
"Vaginal discharge","Southern Africa","BV",1996,0.486758604326605,0.293383503751941,0.684180624617113
