"symptom","rti","year","est","lwr","upr","region","type"
"Vaginal discharge","CT",1970,0.00396205265680186,0.000777302720027153,0.0199349757086603,"Sub-Saharan Africa","Adjusted"
"Vaginal discharge","CT",1971,0.00432294099833319,0.000881196126464228,0.0209257860371795,"Sub-Saharan Africa","Adjusted"
"Vaginal discharge","CT",1972,0.00471654563063732,0.000998934207391577,0.0219653347551688,"Sub-Saharan Africa","Adjusted"
"Vaginal discharge","CT",1973,0.00514580282768641,0.00113235183682515,0.0230559831087965,"Sub-Saharan Africa","Adjusted"
"Vaginal discharge","CT",1974,0.00561390676242939,0.00128352453334706,0.0242002063468831,"Sub-Saharan Africa","Adjusted"
"Vaginal discharge","CT",1975,0.00612433108690068,0.00145479935351862,0.0254005998867119,"Sub-Saharan Africa","Adjusted"
"Vaginal discharge","CT",1976,0.00668085211246567,0.00164882956861599,0.0266598860323203,"Sub-Saharan Africa","Adjusted"
"Vaginal discharge","CT",1977,0.00728757366828396,0.00186861353561744,0.0279809213440009,"Sub-Saharan Africa","Adjusted"
"Vaginal discharge","CT",1978,0.00794895371109955,0.00211753820191888,0.0293667047818001,"Sub-Saharan Africa","Adjusted"
"Vaginal discharge","CT",1979,0.00866983275199777,0.00239942770811792,0.0308203867763595,"Sub-Saharan Africa","Adjusted"
"Vaginal discharge","CT",1980,0.00945546415526155,0.00271859757170191,0.0323452794194582,"Sub-Saharan Africa","Adjusted"
"Vaginal discharge","CT",1981,0.0103115463502846,0.00307991494289871,0.0339448680165988,"Sub-Saharan Africa","Adjusted"
"Vaginal discharge","CT",1982,0.0112442569789315,0.00348886541723167,0.0356228243083426,"Sub-Saharan Africa","Adjusted"
"Vaginal discharge","CT",1983,0.0122602889769415,0.00395162686056241,0.0373830217503486,"Sub-Saharan Africa","Adjusted"
"Vaginal discharge","CT",1984,0.0133668885580082,0.004475150642258,0.0392295533503187,"Sub-Saharan Africa","Adjusted"
"Vaginal discharge","CT",1985,0.014571895031961,0.00506725056794741,0.0411667527015395,"Sub-Saharan Africa","Adjusted"
"Vaginal discharge","CT",1986,0.0158837823428347,0.00573669963808153,0.0431992190386662,"Sub-Saharan Africa","Adjusted"
"Vaginal discharge","CT",1987,0.0173117021572186,0.00649333450917729,0.0453318473872119,"Sub-Saharan Africa","Adjusted"
"Vaginal discharge","CT",1988,0.0188655282666934,0.00734816717015901,0.0475698652050199,"Sub-Saharan Africa","Adjusted"
"Vaginal discharge","CT",1989,0.0205559019888435,0.00831350282465513,0.0499188773510929,"Sub-Saharan Africa","Adjusted"
"Vaginal discharge","CT",1990,0.0223942781576553,0.00940306223469777,0.052384921805115,"Sub-Saharan Africa","Adjusted"
"Vaginal discharge","CT",1991,0.0243929711844217,0.0106321057550665,0.054974539356338,"Sub-Saharan Africa","Adjusted"
"Vaginal discharge","CT",1992,0.0265652005429156,0.0120175548661514,0.0576948615618682,"Sub-Saharan Africa","Adjusted"
"Vaginal discharge","CT",1993,0.0289251348860429,0.0135781050551651,0.0605537227510252,"Sub-Saharan Africa","Adjusted"
"Vaginal discharge","CT",1994,0.0314879338341017,0.0153343212095707,0.0635598038750116,"Sub-Saharan Africa","Adjusted"
"Vaginal discharge","CT",1995,0.0342697862861899,0.0173087030164166,0.0667228187744666,"Sub-Saharan Africa","Adjusted"
"Vaginal discharge","CT",1996,0.0372879438957972,0.019525702869513,0.0700537572326026,"Sub-Saharan Africa","Adjusted"
"Vaginal discharge","CT",1997,0.0405607481195403,0.022011672044179,0.0735652043394879,"Sub-Saharan Africa","Adjusted"
"Vaginal discharge","CT",1998,0.0441076489957743,0.0247947018989211,0.077271762600588,"Sub-Saharan Africa","Adjusted"
"Vaginal discharge","CT",1999,0.0479492135402652,0.0279043150947164,0.0811906122175795,"Sub-Saharan Africa","Adjusted"
