"symptom","rti","year","model","est","lwr","upr","region"
"Vaginal discharge","BV",1970,"Lower, moderate, and higher",0.443332501731867,0.0871909417522787,0.869112018511631,"Sub-Saharan Africa"
"Vaginal discharge","BV",1970,"Lower and moderate",0.564930309087752,0.173340439764637,0.889390235980114,"Sub-Saharan Africa"
"Vaginal discharge","BV",1970,"Lower only",0.282825608854249,0.0605519110485904,0.706990963146193,"Sub-Saharan Africa"
"Vaginal discharge","BV",1971,"Lower, moderate, and higher",0.444589318113326,0.0921132475312964,0.863301616978908,"Sub-Saharan Africa"
"Vaginal discharge","BV",1971,"Lower and moderate",0.562173817735723,0.178709628699895,0.883406571185979,"Sub-Saharan Africa"
"Vaginal discharge","BV",1971,"Lower only",0.285768873905724,0.0646823167891733,0.698328691885218,"Sub-Saharan Africa"
"Vaginal discharge","BV",1972,"Lower, moderate, and higher",0.44584684380945,0.0972741720142937,0.857289082947981,"Sub-Saharan Africa"
"Vaginal discharge","BV",1972,"Lower and moderate",0.559413482381124,0.184187823112598,0.877158439151676,"Sub-Saharan Africa"
"Vaginal discharge","BV",1972,"Lower only",0.288730437194766,0.069064896544885,0.68955228254868,"Sub-Saharan Africa"
"Vaginal discharge","BV",1973,"Lower, moderate, and higher",0.447105063109388,0.102680546291079,0.851072851433172,"Sub-Saharan Africa"
"Vaginal discharge","BV",1973,"Lower and moderate",0.556649468677703,0.189772571244155,0.870641042855093,"Sub-Saharan Africa"
"Vaginal discharge","BV",1973,"Lower only",0.291710157170804,0.0737106376727919,0.680670347417858,"Sub-Saharan Africa"
"Vaginal discharge","BV",1974,"Lower, moderate, and higher",0.448363960266963,0.108338779050467,0.844651976764863,"Sub-Saharan Africa"
"Vaginal discharge","BV",1974,"Lower and moderate",0.553881943183565,0.195460874921712,0.863850392457248,"Sub-Saharan Africa"
"Vaginal discharge","BV",1974,"Lower only",0.294707886720182,0.0786302941787198,0.671692395754552,"Sub-Saharan Africa"
"Vaginal discharge","BV",1975,"Lower, moderate, and higher",0.449623519501449,0.114254752823148,0.838026211948368,"Sub-Saharan Africa"
