"variable","estimate"
"HD","0.02 (0.02-0.04) ***"
"HSV","1.25 (0.78-1.99) "
"HSV-1","0.01 (0.00-0.05) ***"
"HSV-2","1.50 (1.11-2.02) **"
"LGV","0.02 (0.01-0.04) ***"
"None","0.57 (0.46-0.71) ***"
"TP","0.08 (0.06-0.11) ***"
"HD:year","1.01 (0.95-1.08) "
"HSV:year","0.99 (0.91-1.07) "
"HSV-1:year","1.09 (0.88-1.36) "
"HSV-2:year","0.97 (0.93-1.02) "
"LGV:year","1.02 (0.95-1.10) "
"None:year","0.97 (0.95-1.00) "
"TP:year","1.10 (1.07-1.14) ***"
"HD:Male","0.65 (0.36-1.16) "
"HSV:Male","0.89 (0.61-1.30) "
"HSV-1:Male","0.81 (0.30-2.18) "
"HSV-2:Male","0.64 (0.43-0.96) *"
"LGV:Male","0.76 (0.41-1.41) "
"None:Male","0.93 (0.71-1.22) "
"TP:Male","2.01 (1.37-2.94) ***"
"HD:Male and female","0.40 (0.11-1.48) "
"HSV:Male and female","NA (NA-NA) "
"HSV-1:Male and female","13.76 (0.35-540.52) "
"HSV-2:Male and female","0.31 (0.16-0.59) ***"
"LGV:Male and female","NA (NA-NA) "
"None:Male and female","1.46 (0.84-2.53) "
"TP:Male and female","2.30 (1.12-4.72) *"
"HD:<25 years","2.30 (1.29-4.07) **"
"HSV:<25 years","1.01 (0.68-1.51) "
"HSV-1:<25 years","2.65 (0.92-7.63) "
"HSV-2:<25 years","1.02 (0.69-1.51) "
"LGV:<25 years","2.40 (1.27-4.54) **"
"None:<25 years","1.12 (0.85-1.48) "
"TP:<25 years","1.39 (0.96-2.04) "
