"variable","estimate"
"HD","0.01 (0.01-0.02) ***"
"HSV","1.73 (1.04-2.90) *"
"HSV-1","0.01 (0.01-0.03) ***"
"HSV-2","1.26 (0.83-1.91) "
"LGV","0.02 (0.01-0.04) ***"
"None","0.60 (0.42-0.85) **"
"TP","0.10 (0.07-0.14) ***"
"HD:year","0.85 (0.83-0.86) ***"
"HSV:year","1.08 (1.06-1.11) ***"
"HSV-1:year","1.00 (0.95-1.06) "
"HSV-2:year","1.01 (0.98-1.04) "
"LGV:year","0.93 (0.89-0.96) ***"
"None:year","1.02 (1.00-1.04) *"
"TP:year","0.98 (0.96-0.99) **"
"HD:Male","1.98 (1.27-3.08) **"
"HSV:Male","0.68 (0.39-1.17) "
"HSV-1:Male","1.37 (0.51-3.73) "
"HSV-2:Male","0.65 (0.38-1.13) "
"LGV:Male","0.92 (0.44-1.91) "
"None:Male","0.79 (0.51-1.24) "
"TP:Male","1.21 (0.82-1.79) "
"HD:Male and female","2.49 (1.39-4.45) **"
"HSV:Male and female","0.72 (0.34-1.52) "
"HSV-1:Male and female","1.92 (0.59-6.30) "
"HSV-2:Male and female","0.68 (0.28-1.65) "
"LGV:Male and female","1.45 (0.42-5.06) "
"None:Male and female","0.88 (0.50-1.53) "
"TP:Male and female","0.92 (0.56-1.53) "
