"variable","estimate"
"HD","0.01 (0.01-0.02) ***"
"HSV","1.92 (1.19-3.09) **"
"HSV-1","0.01 (0.01-0.03) ***"
"HSV-2","1.32 (0.86-2.03) "
"LGV","0.02 (0.01-0.03) ***"
"None","0.59 (0.42-0.83) **"
"TP","0.09 (0.07-0.13) ***"
"HD:year","0.85 (0.83-0.87) ***"
"HSV:year","1.07 (1.04-1.10) ***"
"HSV-1:year","0.96 (0.86-1.06) "
"HSV-2:year","1.00 (0.97-1.04) "
"LGV:year","0.93 (0.86-1.00) "
"None:year","1.01 (0.99-1.03) "
"TP:year","0.99 (0.98-1.01) "
"HD:Male","2.00 (1.29-3.09) **"
"HSV:Male","0.61 (0.37-1.02) "
"HSV-1:Male","1.50 (0.51-4.46) "
"HSV-2:Male","0.68 (0.40-1.15) "
"LGV:Male","1.00 (0.50-2.00) "
"None:Male","0.80 (0.53-1.22) "
"TP:Male","1.35 (0.92-1.98) "
"HD:Male and female","2.28 (1.25-4.17) **"
"HSV:Male and female","0.90 (0.40-2.03) "
"HSV-1:Male and female","1.18 (0.16-8.96) "
"HSV-2:Male and female","1.02 (0.35-2.94) "
"LGV:Male and female","0.37 (0.03-4.05) "
"None:Male and female","0.72 (0.41-1.26) "
"TP:Male and female","0.83 (0.50-1.38) "
"HD:Q1 No/unsure","0.99 (0.60-1.62) "
"HSV:Q1 No/unsure","1.15 (0.57-2.29) "
"HSV-1:Q1 No/unsure","0.59 (0.10-3.42) "
"HSV-2:Q1 No/unsure","1.08 (0.52-2.23) "
"LGV:Q1 No/unsure","1.12 (0.03-44.40) "
"None:Q1 No/unsure","0.96 (0.58-1.59) "
"TP:Q1 No/unsure","0.85 (0.55-1.32) "
"HD:Q2 No/unsure","1.56 (0.65-3.74) "
"HSV:Q2 No/unsure","1.42 (0.18-10.98) "
"HSV-1:Q2 No/unsure","14.23 (0.32-634.00) "
"HSV-2:Q2 No/unsure","0.15 (0.02-1.22) "
"LGV:Q2 No/unsure","8.68 (0.33-230.26) "
"None:Q2 No/unsure","2.39 (0.70-8.16) "
"TP:Q2 No/unsure","1.48 (0.61-3.59) "
"HD:Q3 No/unsure","0.90 (0.53-1.52) "
"HSV:Q3 No/unsure","0.72 (0.39-1.30) "
"HSV-1:Q3 No/unsure","0.42 (0.01-13.34) "
"HSV-2:Q3 No/unsure","1.22 (0.18-8.37) "
"LGV:Q3 No/unsure","1.88 (0.14-25.26) "
"None:Q3 No/unsure","0.72 (0.39-1.32) "
"TP:Q3 No/unsure","1.16 (0.69-1.95) "
"HD:Q4 No/unsure","1.32 (0.80-2.18) "
"HSV:Q4 No/unsure","0.65 (0.30-1.42) "
"HSV-1:Q4 No/unsure","2.11 (0.31-14.46) "
"HSV-2:Q4 No/unsure","1.39 (0.57-3.43) "
"LGV:Q4 No/unsure","0.83 (0.10-7.21) "
"None:Q4 No/unsure","0.93 (0.55-1.59) "
"TP:Q4 No/unsure","1.30 (0.85-1.97) "
"HD:Q5 No/unsure","0.82 (0.50-1.35) "
"HSV:Q5 No/unsure","0.99 (0.54-1.80) "
"HSV-1:Q5 No/unsure","0.23 (0.01-3.47) "
"HSV-2:Q5 No/unsure","0.65 (0.26-1.60) "
"LGV:Q5 No/unsure","2.97 (0.41-21.37) "
"None:Q5 No/unsure","1.16 (0.67-2.00) "
"TP:Q5 No/unsure","1.18 (0.76-1.84) "
"HD:Q6 No/unsure","1.11 (0.35-3.49) "
"HSV:Q6 No/unsure","NA (NA-NA) "
"HSV-1:Q6 No/unsure","NA (NA-NA) "
"HSV-2:Q6 No/unsure","0.24 (0.05-1.24) "
"LGV:Q6 No/unsure","NA (NA-NA) "
"None:Q6 No/unsure","0.25 (0.05-1.21) "
"TP:Q6 No/unsure","0.79 (0.32-1.97) "
"HD:Q7 No/unsure","1.23 (0.58-2.64) "
"HSV:Q7 No/unsure","0.86 (0.33-2.22) "
"HSV-1:Q7 No/unsure","NA (NA-NA) "
"HSV-2:Q7 No/unsure","0.03 (0.00-0.25) ***"
"LGV:Q7 No/unsure","4.29 (0.38-48.02) "
"None:Q7 No/unsure","0.47 (0.20-1.11) "
"TP:Q7 No/unsure","2.41 (1.17-4.95) *"
"HD:Q8 No/unsure","2.26 (1.20-4.27) *"
"HSV:Q8 No/unsure","1.03 (0.35-3.01) "
"HSV-1:Q8 No/unsure","0.10 (0.00-8.16) "
"HSV-2:Q8 No/unsure","2.54 (0.52-12.35) "
"LGV:Q8 No/unsure","NA (NA-NA) "
"None:Q8 No/unsure","NA (NA-NA) "
"TP:Q8 No/unsure","1.67 (1.00-2.81) "
"HD:Q9 No/unsure","1.50 (0.87-2.60) "
"HSV:Q9 No/unsure","0.48 (0.20-1.14) "
"HSV-1:Q9 No/unsure","8.82 (0.29-267.87) "
"HSV-2:Q9 No/unsure","1.16 (0.46-2.97) "
"LGV:Q9 No/unsure","1.29 (0.24-7.00) "
"None:Q9 No/unsure","1.07 (0.55-2.08) "
"TP:Q9 No/unsure","1.14 (0.72-1.81) "
"HD:Q10 No/unsure","0.48 (0.29-0.79) **"
"HSV:Q10 No/unsure","1.31 (0.62-2.74) "
"HSV-1:Q10 No/unsure","0.58 (0.13-2.71) "
"HSV-2:Q10 No/unsure","0.71 (0.35-1.46) "
"LGV:Q10 No/unsure","0.11 (0.00-3.18) "
"None:Q10 No/unsure","0.89 (0.50-1.57) "
"TP:Q10 No/unsure","1.03 (0.66-1.59) "
