"variable","estimate"
"CT","0.28 (0.22-0.37) ***"
"MG","0.06 (0.04-0.07) ***"
"NG","3.75 (2.92-4.82) ***"
"None","0.10 (0.08-0.13) ***"
"TV","0.03 (0.02-0.04) ***"
"CT:year","1.05 (1.01-1.08) **"
"MG:year","0.92 (0.88-0.96) ***"
"NG:year","1.05 (1.03-1.07) ***"
"None:year","0.90 (0.86-0.94) ***"
"TV:year","0.94 (0.92-0.96) ***"
"CT:<25 years","1.59 (1.09-2.30) *"
"MG:<25 years","1.01 (0.65-1.56) "
"NG:<25 years","1.39 (0.96-2.01) "
"None:<25 years","0.73 (0.48-1.11) "
"TV:<25 years","1.35 (0.79-2.31) "
