"variable","estimate"
"CT","0.40 (0.30-0.53) ***"
"MG","0.06 (0.05-0.08) ***"
"NG","4.85 (3.66-6.43) ***"
"None","0.09 (0.07-0.12) ***"
"TV","0.02 (0.01-0.03) ***"
"CT:year","1.03 (1.00-1.06) *"
"MG:year","0.95 (0.91-1.00) *"
"NG:year","1.05 (1.02-1.08) ***"
"None:year","0.92 (0.88-0.96) ***"
"TV:year","0.89 (0.86-0.93) ***"
"CT:HIV-positive","0.54 (0.37-0.81) **"
"MG:HIV-positive","1.04 (0.66-1.64) "
"NG:HIV-positive","1.06 (0.71-1.56) "
"None:HIV-positive","1.40 (0.92-2.14) "
"TV:HIV-positive","1.87 (1.07-3.25) *"
