"variable","estimate"
"BV","0.69 (0.29-1.60) "
"CA","0.49 (0.07-3.53) "
"CS","0.49 (0.19-1.25) "
"CT","0.08 (0.03-0.19) ***"
"MG","0.04 (0.01-0.13) ***"
"NG","0.05 (0.02-0.13) ***"
"None","0.36 (0.13-0.98) *"
"TV","0.11 (0.04-0.25) ***"
"BV:year","1.05 (1.02-1.09) **"
"CA:year","1.05 (0.96-1.14) "
"CS:year","1.01 (0.96-1.05) "
"CT:year","1.04 (1.01-1.08) *"
"MG:year","0.99 (0.95-1.03) "
"NG:year","1.00 (0.96-1.03) "
"None:year","0.98 (0.95-1.02) "
"TV:year","0.92 (0.89-0.95) ***"
"BV:<25 years","1.12 (0.84-1.51) "
"CA:<25 years","2.15 (0.74-6.26) "
"CS:<25 years","1.82 (1.25-2.66) **"
"CT:<25 years","2.39 (1.72-3.32) ***"
"MG:<25 years","1.99 (1.33-2.98) ***"
"NG:<25 years","1.65 (1.20-2.27) **"
"None:<25 years","0.67 (0.49-0.92) *"
"TV:<25 years","0.85 (0.63-1.13) "
