"variable","estimate"
"BV","1.08 (0.51-2.29) "
"CA","0.45 (0.13-1.54) "
"CS","1.57 (0.66-3.74) "
"CT","0.20 (0.10-0.41) ***"
"MG","0.06 (0.02-0.15) ***"
"NG","0.09 (0.04-0.18) ***"
"None","0.34 (0.14-0.81) *"
"TV","0.17 (0.08-0.32) ***"
"BV:year","1.01 (0.96-1.06) "
"CA:year","1.01 (0.95-1.06) "
"CS:year","1.10 (1.05-1.15) ***"
"CT:year","1.03 (0.99-1.08) "
"MG:year","0.99 (0.90-1.10) "
"NG:year","0.99 (0.96-1.03) "
"None:year","1.00 (0.94-1.05) "
"TV:year","0.94 (0.91-0.97) ***"
