"variable","estimate"
"BV","1.02 (0.57-1.81) "
"CA","0.17 (0.01-1.97) "
"CS","1.04 (0.48-2.25) "
"CT","0.17 (0.09-0.31) ***"
"MG","0.07 (0.04-0.14) ***"
"NG","0.13 (0.07-0.22) ***"
"None","0.35 (0.18-0.67) **"
"TV","0.12 (0.07-0.21) ***"
"BV:year","1.04 (1.00-1.09) "
"CA:year","1.00 (0.94-1.07) "
"CS:year","1.05 (1.01-1.10) **"
"CT:year","1.03 (1.01-1.06) *"
"MG:year","0.97 (0.90-1.06) "
"NG:year","0.97 (0.95-0.99) *"
"None:year","0.98 (0.91-1.05) "
"TV:year","0.92 (0.90-0.94) ***"
"BV:Q1 No/unsure","0.66 (0.30-1.45) "
"CA:Q1 No/unsure","0.58 (0.04-8.73) "
"CS:Q1 No/unsure","2.35 (1.21-4.56) *"
"CT:Q1 No/unsure","0.86 (0.50-1.47) "
"MG:Q1 No/unsure","1.79 (0.33-9.66) "
"NG:Q1 No/unsure","0.87 (0.53-1.40) "
"None:Q1 No/unsure","0.81 (0.15-4.41) "
"TV:Q1 No/unsure","1.14 (0.74-1.75) "
"BV:Q2 No/unsure","1.26 (0.20-8.01) "
"CA:Q2 No/unsure","2.61 (0.18-38.34) "
"CS:Q2 No/unsure","1.58 (0.45-5.60) "
"CT:Q2 No/unsure","1.89 (0.31-11.59) "
"MG:Q2 No/unsure","NA (NA-NA) "
"NG:Q2 No/unsure","0.78 (0.32-1.94) "
"None:Q2 No/unsure","0.65 (0.12-3.38) "
"TV:Q2 No/unsure","0.62 (0.28-1.38) "
"BV:Q3 No/unsure","0.85 (0.33-2.18) "
"CA:Q3 No/unsure","1.10 (0.16-7.59) "
"CS:Q3 No/unsure","0.40 (0.17-0.90) *"
"CT:Q3 No/unsure","1.36 (0.66-2.79) "
"MG:Q3 No/unsure","NA (NA-NA) "
"NG:Q3 No/unsure","0.31 (0.16-0.61) ***"
"None:Q3 No/unsure","12.39 (2.52-60.97) **"
"TV:Q3 No/unsure","0.80 (0.49-1.30) "
"BV:Q4 No/unsure","2.44 (1.23-4.87) *"
"CA:Q4 No/unsure","2.22 (0.33-14.90) "
"CS:Q4 No/unsure","0.69 (0.34-1.41) "
"CT:Q4 No/unsure","0.45 (0.24-0.86) *"
"MG:Q4 No/unsure","0.18 (0.02-1.30) "
"NG:Q4 No/unsure","0.58 (0.33-1.03) "
"None:Q4 No/unsure","0.77 (0.08-7.82) "
"TV:Q4 No/unsure","1.26 (0.78-2.03) "
"BV:Q5 No/unsure","0.74 (0.35-1.59) "
"CA:Q5 No/unsure","0.79 (0.11-5.82) "
"CS:Q5 No/unsure","1.13 (0.55-2.30) "
"CT:Q5 No/unsure","1.46 (0.74-2.87) "
"MG:Q5 No/unsure","0.82 (0.13-5.27) "
"NG:Q5 No/unsure","0.55 (0.30-1.03) "
"None:Q5 No/unsure","0.66 (0.09-4.82) "
"TV:Q5 No/unsure","0.69 (0.45-1.06) "
"BV:Q6 No/unsure","0.76 (0.26-2.25) "
"CA:Q6 No/unsure","1.86 (0.13-27.14) "
"CS:Q6 No/unsure","1.86 (0.71-4.85) "
"CT:Q6 No/unsure","1.31 (0.60-2.85) "
"MG:Q6 No/unsure","NA (NA-NA) "
"NG:Q6 No/unsure","3.82 (1.90-7.70) ***"
"None:Q6 No/unsure","0.27 (0.02-4.05) "
"TV:Q6 No/unsure","0.93 (0.57-1.53) "
"BV:Q7 No/unsure","2.20 (0.63-7.67) "
"CA:Q7 No/unsure","NA (NA-NA) "
"CS:Q7 No/unsure","0.14 (0.01-1.70) "
"CT:Q7 No/unsure","53.11 (10.20-276.43) ***"
"MG:Q7 No/unsure","NA (NA-NA) "
"NG:Q7 No/unsure","2.10 (0.41-10.78) "
"None:Q7 No/unsure","0.13 (0.01-2.63) "
"TV:Q7 No/unsure","0.46 (0.22-0.99) *"
"BV:Q8 No/unsure","0.44 (0.18-1.08) "
"CA:Q8 No/unsure","2.02 (0.19-21.00) "
"CS:Q8 No/unsure","5.67 (2.16-14.91) ***"
"CT:Q8 No/unsure","2.03 (0.87-4.73) "
"MG:Q8 No/unsure","NA (NA-NA) "
"NG:Q8 No/unsure","5.71 (2.60-12.51) ***"
"None:Q8 No/unsure","NA (NA-NA) "
"TV:Q8 No/unsure","4.00 (2.29-7.01) ***"
"BV:Q9 No/unsure","2.99 (1.21-7.40) *"
"CA:Q9 No/unsure","NA (NA-NA) "
"CS:Q9 No/unsure","0.53 (0.18-1.53) "
"CT:Q9 No/unsure","2.74 (1.31-5.71) **"
"MG:Q9 No/unsure","NA (NA-NA) "
"NG:Q9 No/unsure","2.12 (1.03-4.38) *"
"None:Q9 No/unsure","5.05 (0.80-32.02) "
"TV:Q9 No/unsure","1.61 (0.96-2.68) "
"BV:Q10 No/unsure","1.96 (0.67-5.73) "
"CA:Q10 No/unsure","NA (NA-NA) "
"CS:Q10 No/unsure","0.39 (0.20-0.76) **"
"CT:Q10 No/unsure","0.71 (0.32-1.54) "
"MG:Q10 No/unsure","NA (NA-NA) "
"NG:Q10 No/unsure","0.46 (0.27-0.79) **"
"None:Q10 No/unsure","0.70 (0.11-4.45) "
"TV:Q10 No/unsure","0.59 (0.36-0.98) *"
