"variable","estimate"
"BV","0.90 (0.37-2.23) "
"CA","0.41 (0.11-1.59) "
"CS","1.70 (0.64-4.48) "
"CT","0.16 (0.07-0.38) ***"
"MG","0.06 (0.02-0.16) ***"
"NG","0.08 (0.03-0.18) ***"
"None","0.38 (0.14-1.05) "
"TV","0.14 (0.06-0.32) ***"
"BV:year","0.99 (0.94-1.04) "
"CA:year","1.01 (0.96-1.06) "
"CS:year","1.11 (1.06-1.15) ***"
"CT:year","1.02 (0.99-1.06) "
"MG:year","0.99 (0.90-1.08) "
"NG:year","0.98 (0.95-1.00) "
"None:year","1.03 (0.97-1.09) "
"TV:year","0.94 (0.91-0.96) ***"
