"variable","estimate"
"BV","0.68 (0.37-1.26) "
"CA","0.49 (0.18-1.30) "
"CS","0.49 (0.26-0.92) *"
"CT","0.16 (0.09-0.30) ***"
"MG","0.08 (0.04-0.17) ***"
"NG","0.08 (0.04-0.15) ***"
"None","0.31 (0.15-0.62) **"
"TV","0.13 (0.07-0.23) ***"
"BV:year","1.02 (0.98-1.06) "
"CA:year","1.01 (0.97-1.05) "
"CS:year","1.01 (0.99-1.04) "
"CT:year","1.04 (1.01-1.07) **"
"MG:year","0.99 (0.92-1.07) "
"NG:year","1.00 (0.98-1.02) "
"None:year","0.99 (0.95-1.03) "
"TV:year","0.97 (0.95-0.99) **"
